Card_UID,Card_SNO
2387523,250R000123
2387524,250R000124
2387525,250R000125
2387526,250R000126
2387527,250R000127
2387528,250R000128
2387529,250R000129
2387530,250R000130
2387531,250R000131
2387532,250R000132
2387533,250R000133
2387534,250R000134
2387535,250R000135
2387536,250R000136
2387537,250R000137
2387538,250R000138
2387539,250R000139
2387540,250R000140
2387541,250R000141
2387542,250R000142
2387543,250R000143
2387544,250R000144
2387545,250R000145
2387546,250R000146
2387547,250R000147
2387548,250R000148
2387549,250R000149
2387550,250R000150
2387551,250R000151
2387552,250R000152
2387553,250R000153
2387554,250R000154
2387555,250R000155
2387556,250R000156
2387557,250R000157
2387558,250R000158
2387559,250R000159
2387560,250R000160
2387561,250R000161
2387562,250R000162
2387563,250R000163
2387564,250R000164
2387565,250R000165
2387566,250R000166
2387567,250R000167
2387568,250R000168
2387569,250R000169
2387570,250R000170
2387571,250R000171
2387572,250R000172
2387573,250R000173
2387574,250R000174
2387575,250R000175
2387576,250R000176
2387577,250R000177
2387578,250R000178
2387579,250R000179
2387580,250R000180
2387581,250R000181
2387582,250R000182
2387583,250R000183
2387584,250R000184
2387585,250R000185
2387586,250R000186
2387587,250R000187
2387588,250R000188
2387589,250R000189
2387590,250R000190
2387591,250R000191
2387592,250R000192
2387593,250R000193
2387594,250R000194
2387595,250R000195
2387596,250R000196
2387597,250R000197
2387598,250R000198
2387599,250R000199
2387600,250R000200
2387601,250R000201
2387602,250R000202
2387603,250R000203
2387604,250R000204
2387605,250R000205
2387606,250R000206
2387607,250R000207
2387608,250R000208
2387609,250R000209
2387610,250R000210
2387611,250R000211
2387612,250R000212
2387613,250R000213
2387614,250R000214
2387615,250R000215
2387616,250R000216
2387617,250R000217
2387618,250R000218
2387619,250R000219
2387620,250R000220
2387621,250R000221
2387622,250R000222
2387623,250R000223
2387624,250R000224
2387625,250R000225
2387626,250R000226
2387627,250R000227
2387628,250R000228
2387629,250R000229
2387630,250R000230
2387631,250R000231
2387632,250R000232
2387633,250R000233
2387634,250R000234
2387635,250R000235
2387636,250R000236
2387637,250R000237
2387638,250R000238
2387639,250R000239
2387640,250R000240
2387641,250R000241
2387642,250R000242
2387643,250R000243
2387644,250R000244
2387645,250R000245
2387646,250R000246
2387647,250R000247
2387648,250R000248
2387649,250R000249
2387650,250R000250
2387651,250R000251
2387652,250R000252
2387653,250R000253
2387654,250R000254
2387655,250R000255
2387656,250R000256
2387657,250R000257
2387658,250R000258
2387659,250R000259
2387660,250R000260
2387661,250R000261
2387662,250R000262
2387663,250R000263
2387664,250R000264
2387665,250R000265
2387666,250R000266
2387667,250R000267
2387668,250R000268
2387669,250R000269
2387670,250R000270
2387671,250R000271
2387672,250R000272
2387673,250R000273
2387674,250R000274
2387675,250R000275
2387676,250R000276
2387677,250R000277
2387678,250R000278
2387679,250R000279
2387680,250R000280
2387681,250R000281
2387682,250R000282
2387683,250R000283
2387684,250R000284
2387685,250R000285
2387686,250R000286
2387687,250R000287
2387688,250R000288
2387689,250R000289
2387690,250R000290
2387691,250R000291
2387692,250R000292
2387693,250R000293
2387694,250R000294
2387695,250R000295
2387696,250R000296
2387697,250R000297
2387698,250R000298
2387699,250R000299
2387700,250R000300
2387701,250R000301
2387702,250R000302
2387703,250R000303
2387704,250R000304
2387705,250R000305
2387706,250R000306
2387707,250R000307
2387708,250R000308
2387709,250R000309
2387710,250R000310
2387711,250R000311
2387712,250R000312
2387713,250R000313
2387714,250R000314
2387715,250R000315
2387716,250R000316
2387717,250R000317
2387718,250R000318
2387719,250R000319
2387720,250R000320
2387721,250R000321
2387722,250R000322
2387723,250R000323
2387724,250R000324
2387725,250R000325
2387726,250R000326
2387727,250R000327
2387728,250R000328
2387729,250R000329
2387730,250R000330
2387731,250R000331
2387732,250R000332
2387733,250R000333
2387734,250R000334
2387735,250R000335
2387736,250R000336
2387737,250R000337
2387738,250R000338
2387739,250R000339
